date,saham,volume
2022-05-30,ACES,36036800.0
2022-05-31,ACES,38253500.0
2022-06-02,ACES,31804200.0
2022-06-03,ACES,18773800.0
2022-06-06,ACES,32436000.0
2022-06-07,ACES,8315200.0
2022-06-08,ACES,19075500.0
2022-06-09,ACES,130851800.0
2022-06-10,ACES,57321200.0
2022-06-13,ACES,33577200.0
2022-06-14,ACES,29233000.0
2022-06-15,ACES,29206200.0
2022-06-16,ACES,50615300.0
2022-06-17,ACES,82039200.0
2022-06-20,ACES,137431300.0
2022-06-21,ACES,102427400.0
2022-06-22,ACES,69248900.0
2022-06-23,ACES,32340200.0
2022-06-24,ACES,84189500.0
2022-06-27,ACES,39874700.0
2022-06-28,ACES,31674100.0
2022-06-29,ACES,28518300.0
2022-06-30,ACES,29336800.0
2022-07-01,ACES,24504500.0
2022-07-04,ACES,71914100.0
2022-07-05,ACES,34335600.0
2022-07-06,ACES,25293600.0
2022-07-07,ACES,18985400.0
2022-07-08,ACES,27379800.0
2022-07-11,ACES,37394900.0
2022-07-12,ACES,11920100.0
2022-07-13,ACES,20800700.0
2022-07-14,ACES,22750400.0
2022-07-15,ACES,25594000.0
2022-07-18,ACES,24953900.0
2022-07-19,ACES,25275400.0
2022-07-20,ACES,37538600.0
2022-07-21,ACES,57041500.0
2022-07-22,ACES,86521200.0
2022-07-25,ACES,53691900.0
2022-07-26,ACES,78749900.0
2022-07-27,ACES,52840200.0
2022-07-28,ACES,47140500.0
2022-07-29,ACES,40730700.0
2022-08-01,ACES,73228700.0
2022-08-02,ACES,61895900.0
2022-08-03,ACES,130086000.0
2022-08-04,ACES,94785200.0
2022-08-05,ACES,186557500.0
2022-08-08,ACES,137297200.0
2022-08-09,ACES,80830800.0
2022-08-10,ACES,71023900.0
2022-08-11,ACES,62200900.0
2022-08-12,ACES,68310800.0
2022-08-15,ACES,75382200.0
2022-08-16,ACES,69986100.0
2022-08-18,ACES,71220500.0
2022-08-19,ACES,71106900.0
2022-08-22,ACES,69147200.0
2022-08-23,ACES,49756000.0
2022-08-24,ACES,47232000.0
2022-08-25,ACES,42516800.0
2022-08-26,ACES,31797200.0
2022-08-29,ACES,28915500.0
2022-08-30,ACES,19752900.0
2022-08-31,ACES,55377200.0
2022-09-01,ACES,22686200.0
2022-09-02,ACES,39483800.0
2022-09-05,ACES,131838600.0
2022-09-06,ACES,80660900.0
2022-09-07,ACES,57708200.0
2022-09-08,ACES,20182300.0
2022-09-09,ACES,25168100.0
2022-09-12,ACES,19207700.0
2022-09-13,ACES,20678000.0
2022-09-14,ACES,28680700.0
2022-09-15,ACES,26638700.0
2022-09-16,ACES,38330100.0
2022-09-19,ACES,29271400.0
2022-09-20,ACES,20781400.0
2022-09-21,ACES,25882800.0
2022-09-22,ACES,123914100.0
2022-09-23,ACES,35018600.0
2022-09-26,ACES,32684800.0
2022-09-27,ACES,27116600.0
2022-09-28,ACES,10451600.0
2022-09-29,ACES,26306600.0
2022-09-30,ACES,50657600.0
2022-10-03,ACES,11772100.0
2022-10-04,ACES,15483800.0
2022-10-05,ACES,13681900.0
2022-10-06,ACES,11687800.0
2022-10-07,ACES,9399800.0
2022-10-10,ACES,40971000.0
2022-10-11,ACES,17680700.0
2022-10-12,ACES,94976200.0
2022-10-13,ACES,132742500.0
2022-10-14,ACES,73142900.0
2022-10-17,ACES,45796200.0
2022-10-18,ACES,52157100.0
2022-10-19,ACES,51810200.0
2022-10-20,ACES,81137000.0
2022-10-21,ACES,210305100.0
2022-10-24,ACES,224639900.0
2022-10-25,ACES,107157600.0
2022-10-26,ACES,104776800.0
2022-10-27,ACES,218996700.0
2022-10-28,ACES,96102800.0
2022-10-31,ACES,52017000.0
2022-11-01,ACES,48970800.0
2022-11-02,ACES,87523900.0
2022-11-03,ACES,103519600.0
2022-11-04,ACES,85946300.0
2022-11-07,ACES,149582300.0
2022-11-08,ACES,34356400.0
2022-11-09,ACES,30658800.0
2022-11-10,ACES,27344400.0
2022-11-11,ACES,62875300.0
2022-11-14,ACES,55845400.0
2022-11-15,ACES,85471400.0
2022-11-16,ACES,39224300.0
2022-11-17,ACES,47330300.0
2022-11-18,ACES,49508900.0
2022-11-21,ACES,48713200.0
2022-11-22,ACES,59426200.0
2022-11-23,ACES,37561200.0
2022-11-24,ACES,30306400.0
2022-11-25,ACES,20419200.0
